Processes: 657 total, 2 running, 655 sleeping, 2330 threads 
2023/06/10 02:44:39
Load Avg: 1.84, 1.65, 1.65 
CPU usage: 3.36% user, 7.43% sys, 89.20% idle 
SharedLibs: 933M resident, 133M data, 79M linkedit.
MemRegions: 267631 total, 8214M resident, 389M private, 3231M shared.
PhysMem: 32G used (3430M wired, 578M compressor), 288M unused.
VM: 32T vsize, 3409M framework vsize, 14784(0) swapins, 16256(0) swapouts.
Networks: packets: 0/0B in, 0/0B out.
Disks: 0/0B read, 0/0B written.

PID    COMMAND          %CPU TIME     #TH    #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW     MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW        PAGEINS IDLEW POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
22757  MTLCompilerServi 0.0  00:00.07 2      1   36     8748K  0B     0B     22757 1     sleeping *0[3]       0.00000 0.00000    501 6395     431     141       49        710       337       121        68      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
22738  webinspectord    0.0  00:00.17 2      1   81     2016K  0B     0B     22738 1     sleeping *0[766]     0.00000 0.00000    501 2551     177     2103      1541      8886      6828      2846       5       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
22731  LocalAuthenticat 0.0  00:00.14 3      1   184    4748K  0B     0B     22731 1     sleeping  0[100]     0.00000 0.00000    501 6295     324     1817      489       3832      4532      1682       11      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
22725  com.apple.WebKit 0.0  00:00.42 4      1   88     18648K 10044K 0B     22725 1     sleeping  0[235]     0.00000 0.00000    501 16107    446     7794      3972      15057     16828     8955       2       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
22723  com.apple.WebKit 0.0  00:00.33 3      1   84     11244K 0B     0B     22723 1     sleeping  0[95]      0.00000 0.00000    501 14059    434     6621      3404      7718      14302     4050       3       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
22721  MTLCompilerServi 0.0  00:00.04 2      1   36     4376K  0B     0B     22721 1     sleeping *0[2]       0.00000 0.00000    501 4603     431     138       47        624       321       99         68      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
22720  com.apple.WebKit 0.0  00:11.64 4      1   95     108M   53764K 0B     22720 1     sleeping  0[6535]    0.00000 0.00000    501 139882   504     67320     34500     165985    337886    122244     432     0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
22715  com.apple.WebKit 0.0  00:10.66 3      1   89     81836K 8988K  0B     22715 1     sleeping  0[10464]   0.00000 0.00000    501 115867   517     63863     34206     155564    345145    113818     8       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
21577  MTLCompilerServi 0.0  00:00.08 2      1   33     9360K  0B     16384B 21577 1     sleeping *0[5]       0.00000 0.00000    501 6590     431     145       70        754       375       225        68      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
21563  com.apple.WebKit 0.0  05:43.83 4      1   104    475M   62928K 0B     21563 1     sleeping  0[275409]  0.00000 0.00000    501 957532   488     1191728   1528079   1595401   11229296  1698968    62      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
